Date : 2026-08-03 15:25:38
Directory : /Users/so.shah/Documents/centralized-notifications-test
Total : 426 files,  50457 codes, 2112 comments, 9805 blanks, all 62374 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| .claude/skills/web-design-guidelines                                                                                                    |          1 |         28 |          0 |         12 |         40 |
| .github                                                                                                                                 |          1 |         41 |          5 |         10 |         56 |
| .github/workflows                                                                                                                       |          1 |         41 |          5 |         10 |         56 |
| backend                                                                                                                                 |         60 |      2,276 |        334 |        316 |      2,926 |
| backend (Files)                                                                                                                         |          5 |         71 |         15 |          9 |         95 |
| backend/migrations                                                                                                                      |         19 |        146 |        116 |         41 |        303 |
| backend/src                                                                                                                             |         23 |        797 |        152 |        111 |      1,060 |
| backend/src (Files)                                                                                                                     |          2 |         77 |         21 |         14 |        112 |
| backend/src/auth                                                                                                                        |          7 |        278 |         36 |         43 |        357 |
| backend/src/config                                                                                                                      |          2 |         42 |         24 |          8 |         74 |
| backend/src/db                                                                                                                          |          2 |         72 |         10 |         13 |         95 |
| backend/src/http                                                                                                                        |          1 |         65 |         11 |          8 |         84 |
| backend/src/http/admin                                                                                                                  |          1 |         65 |         11 |          8 |         84 |
| backend/src/reference                                                                                                                   |          6 |        179 |         31 |         14 |        224 |
| backend/src/reference (Files)                                                                                                           |          4 |         79 |         26 |          9 |        114 |
| backend/src/reference/ai                                                                                                                |          2 |        100 |          5 |          5 |        110 |
| backend/src/scripts                                                                                                                     |          1 |         13 |          1 |          2 |         16 |
| backend/src/summary                                                                                                                     |          2 |         71 |         18 |          9 |         98 |
| backend/test                                                                                                                            |         13 |      1,262 |         51 |        155 |      1,468 |
| docs                                                                                                                                    |         60 |     24,177 |         34 |      5,673 |     29,884 |
| docs (Files)                                                                                                                            |          7 |      3,287 |          0 |        120 |      3,407 |
| docs/.vitepress                                                                                                                         |          1 |         52 |          0 |          2 |         54 |
| docs/api                                                                                                                                |          8 |      1,974 |          0 |        727 |      2,701 |
| docs/architecture                                                                                                                       |          3 |        224 |          0 |         68 |        292 |
| docs/frontend                                                                                                                           |          1 |          7 |          0 |          4 |         11 |
| docs/scripts                                                                                                                            |          1 |         85 |         15 |          5 |        105 |
| docs/srs                                                                                                                                |          1 |         91 |          0 |         10 |        101 |
| docs/superpowers                                                                                                                        |         38 |     18,457 |         19 |      4,737 |     23,213 |
| docs/superpowers/plans                                                                                                                  |         19 |     15,358 |         18 |      3,999 |     19,375 |
| docs/superpowers/specs                                                                                                                  |         19 |      3,099 |          1 |        738 |      3,838 |
| frontend                                                                                                                                |         33 |      1,598 |        201 |        233 |      2,032 |
| frontend (Files)                                                                                                                        |          7 |        144 |         31 |         14 |        189 |
| frontend/e2e                                                                                                                            |          7 |        596 |         93 |        116 |        805 |
| frontend/public                                                                                                                         |          1 |         12 |          0 |          1 |         13 |
| frontend/src                                                                                                                            |         18 |        846 |         77 |        102 |      1,025 |
| frontend/src (Files)                                                                                                                    |          3 |         28 |          3 |          6 |         37 |
| frontend/src/api                                                                                                                        |          2 |         73 |         24 |         11 |        108 |
| frontend/src/features                                                                                                                   |          9 |        439 |          4 |         53 |        496 |
| frontend/src/features/admin                                                                                                             |          2 |         26 |          1 |          6 |         33 |
| frontend/src/features/auth                                                                                                              |          1 |         45 |          0 |          8 |         53 |
| frontend/src/features/dashboard                                                                                                         |          5 |        222 |          0 |         24 |        246 |
| frontend/src/features/dashboard (Files)                                                                                                 |          3 |         89 |          0 |         11 |        100 |
| frontend/src/features/dashboard/components                                                                                              |          2 |        133 |          0 |         13 |        146 |
| frontend/src/features/settings                                                                                                          |          1 |        146 |          3 |         15 |        164 |
| frontend/src/forms                                                                                                                      |          1 |         25 |          0 |          2 |         27 |
| frontend/src/router                                                                                                                     |          1 |         50 |          3 |          4 |         57 |
| frontend/src/stores                                                                                                                     |          1 |         37 |          4 |          9 |         50 |
| frontend/src/styles                                                                                                                     |          1 |        194 |         39 |         17 |        250 |
| packages                                                                                                                                |        228 |     15,909 |      1,471 |      1,898 |     19,278 |
| packages/core                                                                                                                           |         76 |      4,022 |        525 |        547 |      5,094 |
| packages/core (Files)                                                                                                                   |          5 |        138 |          7 |         31 |        176 |
| packages/core/migrations                                                                                                                |         10 |         98 |         51 |         18 |        167 |
| packages/core/src                                                                                                                       |         32 |      1,868 |        382 |        238 |      2,488 |
| packages/core/src (Files)                                                                                                               |          5 |        358 |         85 |         38 |        481 |
| packages/core/src/action                                                                                                                |          2 |        159 |         51 |         26 |        236 |
| packages/core/src/ai                                                                                                                    |          9 |        535 |         70 |         67 |        672 |
| packages/core/src/audience                                                                                                              |          1 |         24 |         13 |          3 |         40 |
| packages/core/src/delivery                                                                                                              |          2 |         62 |         25 |         12 |         99 |
| packages/core/src/pipeline                                                                                                              |          4 |         85 |         35 |         10 |        130 |
| packages/core/src/policy                                                                                                                |          1 |        148 |         18 |         16 |        182 |
| packages/core/src/preferences                                                                                                           |          3 |        178 |         32 |         25 |        235 |
| packages/core/src/read                                                                                                                  |          5 |        319 |         53 |         41 |        413 |
| packages/core/test                                                                                                                      |         29 |      1,918 |         85 |        260 |      2,263 |
| packages/module-sim                                                                                                                     |         26 |      1,858 |        214 |        197 |      2,269 |
| packages/module-sim (Files)                                                                                                             |          4 |         48 |          4 |          6 |         58 |
| packages/module-sim/src                                                                                                                 |         22 |      1,810 |        210 |        191 |      2,211 |
| packages/module-sim/src (Files)                                                                                                         |          8 |      1,033 |        127 |         64 |      1,224 |
| packages/module-sim/src/modules                                                                                                         |          6 |        164 |         31 |         26 |        221 |
| packages/module-sim/src/routes                                                                                                          |          8 |        613 |         52 |        101 |        766 |
| packages/server-fastify                                                                                                                 |         25 |      2,015 |        140 |        245 |      2,400 |
| packages/server-fastify (Files)                                                                                                         |          5 |        127 |          2 |         23 |        152 |
| packages/server-fastify/src                                                                                                             |          9 |        601 |         96 |         74 |        771 |
| packages/server-fastify/src (Files)                                                                                                     |          2 |         66 |         22 |          7 |         95 |
| packages/server-fastify/src/routes                                                                                                      |          7 |        535 |         74 |         67 |        676 |
| packages/server-fastify/test                                                                                                            |         11 |      1,287 |         42 |        148 |      1,477 |
| packages/shared                                                                                                                         |          8 |        586 |        151 |         85 |        822 |
| packages/shared (Files)                                                                                                                 |          2 |         44 |          0 |          2 |         46 |
| packages/shared/src                                                                                                                     |          5 |        343 |        148 |         54 |        545 |
| packages/shared/test                                                                                                                    |          1 |        199 |          3 |         29 |        231 |
| packages/vue                                                                                                                            |         93 |      7,428 |        441 |        824 |      8,693 |
| packages/vue (Files)                                                                                                                    |          5 |         99 |          1 |          6 |        106 |
| packages/vue/src                                                                                                                        |         88 |      7,329 |        440 |        818 |      8,587 |
| packages/vue/src (Files)                                                                                                                |          2 |         46 |          9 |          7 |         62 |
| packages/vue/src/admin                                                                                                                  |          9 |        932 |         16 |         87 |      1,035 |
| packages/vue/src/components                                                                                                             |         24 |      3,013 |         74 |        291 |      3,378 |
| packages/vue/src/components (Files)                                                                                                     |          8 |        616 |         14 |         74 |        704 |
| packages/vue/src/components/components                                                                                                  |          4 |        449 |          6 |         42 |        497 |
| packages/vue/src/components/panel                                                                                                       |          8 |      1,222 |         41 |        110 |      1,373 |
| packages/vue/src/components/preferences                                                                                                 |          2 |        257 |          7 |         22 |        286 |
| packages/vue/src/components/renderers                                                                                                   |          2 |        469 |          6 |         43 |        518 |
| packages/vue/src/design                                                                                                                 |          2 |         37 |         16 |          9 |         62 |
| packages/vue/src/forms                                                                                                                  |         11 |        534 |         29 |         59 |        622 |
| packages/vue/src/forms (Files)                                                                                                          |          7 |        365 |         29 |         37 |        431 |
| packages/vue/src/forms/fields                                                                                                           |          4 |        169 |          0 |         22 |        191 |
| packages/vue/src/lib                                                                                                                    |          2 |         22 |          7 |          4 |         33 |
| packages/vue/src/preferences                                                                                                            |          2 |        126 |         15 |         20 |        161 |
| packages/vue/src/provider                                                                                                               |          4 |        169 |          4 |         22 |        195 |
| packages/vue/src/state                                                                                                                  |         16 |      1,826 |        213 |        250 |      2,289 |
| packages/vue/src/styles                                                                                                                 |          3 |        259 |         27 |         21 |        307 |
| packages/vue/src/styles (Files)                                                                                                         |          1 |        238 |         22 |         19 |        279 |
| packages/vue/src/styles/presets                                                                                                         |          2 |         21 |          5 |          2 |         28 |
| packages/vue/src/test                                                                                                                   |          1 |         58 |          7 |          4 |         69 |
| packages/vue/src/test-support                                                                                                           |          1 |         14 |          1 |          2 |         17 |
| packages/vue/src/transport                                                                                                              |          5 |        186 |         22 |         24 |        232 |
| packages/vue/src/ui                                                                                                                     |          6 |        107 |          0 |         18 |        125 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/so.shah/Documents/centralized-notifications-test/.agents/skills/building-components/SKILL.md                                     | Skill              |         31 |          0 |          7 |         38 |
| /Users/so.shah/Documents/centralized-notifications-test/.agents/skills/web-design-guidelines/SKILL.md                                   | Skill              |         28 |          0 |         12 |         40 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/browser-tester.md                                                | Markdown           |         28 |          0 |          6 |         34 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/code-reviewer.md                                                 | Markdown           |         30 |          0 |          6 |         36 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/db-reader.md                                                     | Markdown           |         23 |          0 |          4 |         27 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/docs-writer.md                                                   | Markdown           |         64 |          0 |         20 |         84 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/frontend-design-reviewer.md                                      | Markdown           |         30 |          0 |          5 |         35 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/git-troubleshooter.md                                            | Markdown           |         38 |          0 |          5 |         43 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/agents/security-reviewer.md                                             | Markdown           |         37 |          0 |          6 |         43 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/rules/api-documentation.md                                              | Markdown           |         18 |          0 |          3 |         21 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/rules/notifications-domain.md                                           | Markdown           |         38 |          0 |          3 |         41 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/rules/redis-streams.md                                                  | Markdown           |         29 |          0 |          3 |         32 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/rules/security.md                                                       | Markdown           |         15 |          0 |          3 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/rules/testing.md                                                        | Markdown           |         10 |          0 |          2 |         12 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/scripts/post-edit-format.sh                                             | Shell Script       |         11 |          3 |          4 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/scripts/validate-git-safety.sh                                          | Shell Script       |         32 |         20 |         10 |         62 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/scripts/validate-readonly-query.sh                                      | Shell Script       |         10 |          3 |          4 |         17 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/settings.json                                                           | JSON with Comments |         36 |          0 |          1 |         37 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/building-components/SKILL.md                                     | Skill              |         31 |          0 |          7 |         38 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/commit/SKILL.md                                                  | Skill              |         38 |          0 |          9 |         47 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/design-system/SKILL.md                                           | Skill              |        107 |          0 |         23 |        130 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/docs-plan/SKILL.md                                               | Skill              |         36 |          0 |         11 |         47 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/fill-srs/SKILL.md                                                | Skill              |         58 |          0 |         14 |         72 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/gantt-chart/SKILL.md                                             | Skill              |         37 |          0 |         13 |         50 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/gantt-chart/scripts/generate_gantt.py                            | Python             |         84 |          9 |         19 |        112 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/gantt-sheets/SKILL.md                                            | Skill              |         49 |          0 |         11 |         60 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/json-form-conventions/SKILL.md                                   | Skill              |         74 |          0 |         16 |         90 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/open-pr/SKILL.md                                                 | Skill              |         26 |          0 |          7 |         33 |
| /Users/so.shah/Documents/centralized-notifications-test/.claude/skills/web-design-guidelines/SKILL.md                                   | Skill              |         28 |          0 |         12 |         40 |
| /Users/so.shah/Documents/centralized-notifications-test/.dockerignore                                                                   | Ignore             |         15 |          2 |          1 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/.github/workflows/ci.yml                                                        | YAML               |         41 |          5 |         10 |         56 |
| /Users/so.shah/Documents/centralized-notifications-test/.mcp.json                                                                       | JSON               |         14 |          0 |          1 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/.prettierignore                                                                 | Ignore             |          8 |          0 |          1 |          9 |
| /Users/so.shah/Documents/centralized-notifications-test/.prettierrc                                                                     | JSON               |          6 |          0 |          1 |          7 |
| /Users/so.shah/Documents/centralized-notifications-test/CLAUDE.md                                                                       | Markdown           |         68 |          0 |         15 |         83 |
| /Users/so.shah/Documents/centralized-notifications-test/PR_NOTES_muted-view.md                                                          | Markdown           |         19 |          0 |         13 |         32 |
| /Users/so.shah/Documents/centralized-notifications-test/PR_NOTES_ui-component-library.md                                                | Markdown           |        101 |          0 |         23 |        124 |
| /Users/so.shah/Documents/centralized-notifications-test/README-SETUP.md                                                                 | Markdown           |        339 |          0 |         95 |        434 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/Dockerfile                                                              | Docker             |         10 |          6 |          3 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/001_identity.sql                                             | MS SQL             |         25 |          4 |          6 |         35 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/002_notifications.sql                                        | MS SQL             |         26 |         12 |          3 |         41 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/003_notification_reads.sql                                   | MS SQL             |          6 |         12 |          3 |         21 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/004_notifications_keyset_index.sql                           | MS SQL             |          2 |          6 |          3 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/005_admin.sql                                                | MS SQL             |         18 |         12 |          5 |         35 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/006_retention_setting.sql                                    | MS SQL             |          1 |          3 |          1 |          5 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/007_seed_modules.sql                                         | MS SQL             |          6 |          7 |          1 |         14 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/008_priority_rank.sql                                        | MS SQL             |         13 |          3 |          2 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/009_priority_low_keyset_index.sql                            | MS SQL             |          3 |          7 |          1 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/010_notifications_counts_index.sql                           | MS SQL             |          3 |          4 |          1 |          8 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/011_notification_reads_userkey.sql                           | MS SQL             |          6 |          8 |          5 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/012_modules_drop_label.sql                                   | MS SQL             |          1 |          3 |          1 |          5 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/013_modules_base_url.sql                                     | MS SQL             |          2 |          5 |          2 |          9 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/014_action_dispatches.sql                                    | MS SQL             |         12 |         18 |          2 |         32 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/015_user_summaries.sql                                       | MS SQL             |          6 |          2 |          1 |          9 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/016_summary_time.sql                                         | MS SQL             |          1 |          1 |          1 |          3 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/017_users_timezone.sql                                       | MS SQL             |          1 |          2 |          1 |          4 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/018_user_preferences.sql                                     | MS SQL             |          6 |          3 |          1 |         10 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/migrations/019_user_mute_rules.sql                                      | MS SQL             |          8 |          4 |          1 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/package.json                                                            | JSON               |         36 |          0 |          1 |         37 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/guards.ts                                                      | TypeScript         |         24 |          3 |          5 |         32 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/me.ts                                                          | TypeScript         |         24 |          8 |          4 |         36 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/password.ts                                                    | TypeScript         |         11 |          6 |          3 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/repository.ts                                                  | TypeScript         |         48 |          2 |          7 |         57 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/routes.ts                                                      | TypeScript         |         45 |          7 |          9 |         61 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/seed.ts                                                        | TypeScript         |         92 |          5 |          8 |        105 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/session.ts                                                     | TypeScript         |         34 |          5 |          7 |         46 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/config/env.ts                                                       | TypeScript         |         34 |         19 |          6 |         59 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/config/load-env.ts                                                  | TypeScript         |          8 |          5 |          2 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/db/migrate.ts                                                       | TypeScript         |         53 |          7 |          7 |         67 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/db/pool.ts                                                          | TypeScript         |         19 |          3 |          6 |         28 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/http/admin/maintenance.ts                                           | TypeScript         |         65 |         11 |          8 |         84 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/index.ts                                                            | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/reference/ai/fake-provider.ts                                       | TypeScript         |         16 |          2 |          2 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/reference/ai/openai-provider.ts                                     | TypeScript         |         84 |          3 |          3 |         90 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/reference/catalog.ts                                                | TypeScript         |          7 |          5 |          2 |         14 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/reference/http-dispatcher.ts                                        | TypeScript         |         37 |         10 |          2 |         49 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/reference/principal-adapter.ts                                      | TypeScript         |          5 |          5 |          2 |         12 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/reference/service.ts                                                | TypeScript         |         30 |          6 |          3 |         39 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/scripts/seed.ts                                                     | TypeScript         |         13 |          1 |          2 |         16 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/server.ts                                                           | TypeScript         |         62 |         21 |         11 |         94 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/summary/schedule-repo.ts                                            | TypeScript         |         24 |          5 |          3 |         32 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/src/summary/scheduler.ts                                                | TypeScript         |         47 |         13 |          6 |         66 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/ai-provider.test.ts                                                | TypeScript         |         64 |          0 |         10 |         74 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/auth.test.ts                                                       | TypeScript         |        107 |          4 |         15 |        126 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/env.test.ts                                                        | TypeScript         |         45 |          0 |          9 |         54 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/http-dispatcher.test.ts                                            | TypeScript         |         65 |          0 |          6 |         71 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/maintenance.test.ts                                                | TypeScript         |        149 |          5 |         12 |        166 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/me-timezone.test.ts                                                | TypeScript         |         71 |          0 |         10 |         81 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/notifications.test.ts                                              | TypeScript         |        454 |         36 |         57 |        547 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/password.test.ts                                                   | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/priority-rank.test.ts                                              | TypeScript         |         33 |          0 |          3 |         36 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/reference-service.test.ts                                          | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/schema-parity.test.ts                                              | TypeScript         |         92 |          4 |         14 |        110 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/setup.ts                                                           | TypeScript         |          5 |          2 |          1 |          8 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/test/summary-scheduler.test.ts                                          | TypeScript         |        141 |          0 |         10 |        151 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/tsconfig.json                                                           | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/tsup.config.ts                                                          | TypeScript         |          8 |          5 |          2 |         15 |
| /Users/so.shah/Documents/centralized-notifications-test/backend/vitest.config.ts                                                        | TypeScript         |          7 |          4 |          2 |         13 |
| /Users/so.shah/Documents/centralized-notifications-test/docker-compose.yml                                                              | YAML               |         29 |          4 |          2 |         35 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/.vitepress/config.mts                                                      | TypeScript         |         52 |          0 |          2 |         54 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/admin.md                                                               | Markdown           |        317 |          0 |        131 |        448 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/auth.md                                                                | Markdown           |        127 |          0 |         50 |        177 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/index.md                                                               | Markdown           |         22 |          0 |          4 |         26 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/intake.md                                                              | Markdown           |        187 |          0 |         49 |        236 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/me.md                                                                  | Markdown           |         44 |          0 |         20 |         64 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/module-sim.md                                                          | Markdown           |        288 |          0 |         91 |        379 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/notifications.md                                                       | Markdown           |        856 |          0 |        339 |      1,195 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/api/sse.md                                                                 | Markdown           |        133 |          0 |         43 |        176 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/architecture.md                                                            | Markdown           |        397 |          0 |         39 |        436 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/architecture/be-library-integration.md                                     | Markdown           |        131 |          0 |         38 |        169 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/architecture/index.md                                                      | Markdown           |         10 |          0 |          4 |         14 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/architecture/library-conversion-direction.md                               | Markdown           |         83 |          0 |         26 |        109 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/frontend/index.md                                                          | Markdown           |          7 |          0 |          4 |         11 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/gantt-tasks.json                                                           | JSON               |          7 |          0 |          1 |          8 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/gantt.html                                                                 | HTML               |         19 |          0 |          0 |         19 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/implementation-plan.md                                                     | Markdown           |        289 |          0 |         73 |        362 |
| /Users/so.shah/Documents/centralized-notifications-test/docs/index.md                                                                   | Markdown           |          9 |          0 |          5 |         14 |
